frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,system,symmetry_count,n_symmetries,reference_energy
new_HCT_Nover2_Comm,block2_pauli,2,-107.50020475452467,0.08143016765775712,False,0.6068104590000019,2,True,False,False,100,7,1e-06,8.589391597979557e-08,0.0,"[-107.52694995868472, -107.50021714676122, -107.50020700180585, -107.5002070020735, -107.5002048403976, -107.50020484041859, -107.50020475452467]","[0.11001470799999424, 0.07274720900001341, 0.07259691699999848, 0.07560408300000176, 0.07209912500000826, 0.07249529199999927, 0.06706708400000139]",N2_corr,N/2,10,-107.58163492218243
new_HCT_Nover2_Comm,block2_pauli,3,-107.51886609480579,0.0627688273766438,False,0.6293246660000023,3,True,False,False,100,7,1e-06,4.83880313595364e-07,0.0,"[-107.52694995868472, -107.51877693228505, -107.51887586347311, -107.51887457134802, -107.51886666890032, -107.5188665786861, -107.51886609480579]","[0.12251816699999551, 0.0748632919999892, 0.07492437499999482, 0.07574233299999378, 0.07561545800000147, 0.07527125000000012, 0.0695127090000085]",N2_corr,N/2,10,-107.58163492218243
new_HCT_Nover2_Comm,block2_pauli,4,-107.53436372456697,0.047271197615458505,False,0.6706468329999922,4,True,False,False,100,7,1e-06,6.416223214955608e-07,0.0,"[-107.53485784399777, -107.53423962371212, -107.53437398970593, -107.53437469642947, -107.53436484160898, -107.5343643661893, -107.53436372456697]","[0.13743483300000037, 0.08193912500000522, 0.07901816700000097, 0.0802778330000109, 0.07866370899999708, 0.08020162500000083, 0.07446695899999156]",N2_corr,N/2,10,-107.58163492218243
new_HCT_Nover2_Comm,block2_pauli,5,-107.53767265148933,0.043962270693100436,False,0.8054561250000063,5,True,False,False,100,8,1e-06,1.4536242076701456e-07,0.0,"[-107.54033869253254, -107.53464449974416, -107.53628337084761, -107.53628566340826, -107.53759118197098, -107.53759545717386, -107.53767250612691, -107.53767265148933]","[0.14336487499998896, 0.08628974999999173, 0.08661208300000567, 0.08875837500001182, 0.08791729099999657, 0.08545949999999891, 0.08087704099999371, 0.08108008300000336]",N2_corr,N/2,10,-107.58163492218243
new_HCT_Nover2_Comm,block2_pauli,6,-107.55684979217685,0.0247851300055828,False,0.770358041999998,6,True,False,False,100,7,1e-06,8.537322742085962e-07,0.0,"[-107.55010105414897, -107.55363544392678, -107.55580385100845, -107.55678103176734, -107.55686015568402, -107.55684893844457, -107.55684979217685]","[0.14920187500000281, 0.10148029200000508, 0.09359495799999706, 0.09300758300000211, 0.09210970899999893, 0.09398587500000133, 0.0875499160000004]",N2_corr,N/2,10,-107.58163492218243
new_HCT_Nover2_Comm,block2_pauli,7,-107.5623104130434,0.01932450913902528,False,0.9332316249999906,7,True,False,False,100,8,1e-06,2.9285644131959998e-08,0.0,"[-107.55567233210817, -107.56053557098781, -107.56211626426509, -107.56211490038194, -107.56216328452903, -107.56216409358153, -107.56231044232905, -107.5623104130434]","[0.17533466700000133, 0.11360554200000195, 0.09902704099999937, 0.10133391700000516, 0.09802795799998876, 0.09950125000000298, 0.09242062500000259, 0.0947482500000092]",N2_corr,N/2,10,-107.58163492218243
new_HCT_Nover2_Comm,block2_pauli,8,-107.56395319939236,0.01768172279007274,False,0.8305428339999992,8,True,False,False,100,7,1e-06,2.9541524781961925e-09,0.0,"[-107.55990453200664, -107.5629972717959, -107.5638703914685, -107.5639581831125, -107.56395842599744, -107.5639531964382, -107.56395319939236]","[0.18519320800000116, 0.10063833300000624, 0.09745083300001056, 0.0957770420000088, 0.10088508299998011, 0.0965342499999906, 0.09228879099998721]",N2_corr,N/2,10,-107.58163492218243
new_HCT_Nover2_Comm,block2_pauli,9,-107.56615679862531,0.015478123557116419,False,1.0497847089999937,9,True,False,False,100,7,1e-06,1.5203895031845605e-07,0.0,"[-107.56309241111641, -107.5653498650419, -107.56606489123679, -107.56615680357075, -107.56615785653366, -107.56615664658636, -107.56615679862531]","[0.22434908400001063, 0.13339183299999036, 0.1185782080000024, 0.13361779199999546, 0.141923208999998, 0.1268106249999903, 0.11215012499999943]",N2_corr,N/2,10,-107.58163492218243
new_HCT_Nover2_Comm,block2_pauli,10,-107.56817143340776,0.013463488774675625,False,1.102191290999997,10,True,False,False,100,7,1e-06,6.996032198003377e-09,0.0,"[-107.56418959503881, -107.5671758422792, -107.56792790133272, -107.56816739833312, -107.5681670768646, -107.56817144040379, -107.56817143340776]","[0.2418842090000055, 0.14209229200000095, 0.12202483400000119, 0.12738608300000465, 0.15451733300000114, 0.12450370900000962, 0.12976962499999445]",N2_corr,N/2,10,-107.58163492218243
new_HCT_Nover2_Comm,block2_pauli,12,-107.57459897328081,0.007035948901616962,False,1.1483018750000156,12,True,False,False,100,7,1e-06,2.9953071134514175e-09,0.0,"[-107.57210299665554, -107.57404004100611, -107.57450664216984, -107.57459929991765, -107.57459947020703, -107.57459897627612, -107.57459897328081]","[0.255586333999986, 0.1590303329999756, 0.13683050000000208, 0.13926675000001865, 0.13373754200000576, 0.13714483299997937, 0.12739879200000814]",N2_corr,N/2,10,-107.58163492218243
new_HCT_Nover2_Comm,block2_pauli,14,-107.57681270033191,0.004822221850517394,False,1.4111699169999952,14,True,False,False,100,7,1e-06,1.5680390674788214e-07,0.0,"[-107.57493934777264, -107.57654046842711, -107.57666268772209, -107.57678444706715, -107.57678521457166, -107.576812543528, -107.57681270033191]","[0.23092837500001906, 0.2197550830000239, 0.17720500000001493, 0.19008687499999155, 0.18880633299997385, 0.18195679199999404, 0.16240358400000332]",N2_corr,N/2,10,-107.58163492218243
new_HCT_Nover2_Comm,block2_pauli,16,-107.57814318655691,0.0034917356255164123,False,1.3894171670000048,16,True,False,False,100,7,1e-06,9.087935382012802e-08,0.0,"[-107.57653496559182, -107.57810898756989, -107.57813112358164, -107.57814197122337, -107.5781424416234, -107.57814309567756, -107.57814318655691]","[0.2689610420000008, 0.2077508749999879, 0.1700134589999891, 0.17296745900000587, 0.17440074999998956, 0.1721080000000086, 0.1650940000000105]",N2_corr,N/2,10,-107.58163492218243
