frame,backend,bond_dim,energy,abs_energy_error,within_dmrg_tolerance,dmrg_seconds,max_result_mps_bond,sweep_converged,reached_max_sweeps,sweep_limit_reached_without_convergence,sweeps_requested,sweeps_completed,sweep_energy_tolerance,last_sweep_energy_change,final_sweep_noise,sweep_energies,per_sweep_seconds,system,symmetry_count,n_symmetries,reference_energy
new_HCT_Nover2_Comm,block2_pauli,1,-107.53328102761355,0.12084141990898445,False,0.6418643330000009,1,True,False,False,100,7,1e-06,0.0,0.0,"[-107.64225248241715, -107.53338914854822, -107.53328102717789, -107.53328102748316, -107.53328102761355, -107.53328102761355, -107.53328102761355]","[0.10626820800000303, 0.07399020799999789, 0.07156195800000376, 0.07388404199999599, 0.07222687499999836, 0.07602779199999787, 0.0679502910000025]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,2,-107.59663777325869,0.05748467426384707,False,0.6262104999999991,2,True,False,False,100,7,1e-06,5.0943924634339055e-08,0.0,"[-107.64279375168744, -107.5973612351787, -107.59664680246593, -107.59664676314225, -107.59663782455837, -107.59663782420262, -107.59663777325869]","[0.10892795899999896, 0.07545316599999552, 0.07575008399999916, 0.07812883300000095, 0.07541854200000131, 0.0797506670000061, 0.07086683400000027]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,3,-107.60560875909039,0.04851368843215198,False,0.6559964579999971,3,True,False,False,100,7,1e-06,1.198827703774441e-10,0.0,"[-107.64636488076366, -107.60437631028508, -107.60560806614706, -107.60560878844915, -107.60560875936073, -107.60560875921027, -107.60560875909039]","[0.11777183400000268, 0.0794373749999977, 0.078999084000003, 0.08038616700000034, 0.07868150000000185, 0.08089525000000464, 0.07400266700000202]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,4,-107.615572125255,0.03855032226753963,False,0.7735501670000033,4,True,False,False,100,7,1e-06,2.008553678933822e-08,0.0,"[-107.648380320157, -107.6146192029424, -107.61556347436951, -107.61556435149117, -107.6155721047106, -107.61557210516946, -107.615572125255]","[0.13552541600000012, 0.1390527920000011, 0.09615162499999741, 0.08679104200000154, 0.08636333399999785, 0.08817366600000298, 0.07879416699999808]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,5,-107.62263055405121,0.03149189347132619,False,0.7973673750000003,5,True,False,False,100,7,1e-06,2.9230449172246153e-07,0.0,"[-107.648380320157, -107.62253752476121, -107.62263307698603, -107.62263307699021, -107.62263084635569, -107.6226308463557, -107.62263055405121]","[0.14363229100000297, 0.09139650000000188, 0.092022582999995, 0.09257695899999874, 0.1280739170000018, 0.09910279099999997, 0.08950920800000262]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,6,-107.63154619437381,0.022576253148727687,False,0.8088235000000026,6,True,False,False,100,7,1e-06,3.543235038705461e-08,0.0,"[-107.648380320157, -107.63127492000207, -107.63153643536518, -107.63153643536492, -107.63154615894166, -107.63154615894146, -107.63154619437381]","[0.14308304200000066, 0.09949370799999713, 0.09959045899999808, 0.10310145900000123, 0.10378200000000248, 0.10287666699999676, 0.09318991600000004]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,7,-107.63658978313484,0.017532664387701402,False,0.9366572500000032,7,True,False,False,100,8,1e-06,1.6555321735722828e-07,0.0,"[-107.64856604938589, -107.63589194860444, -107.63666783122132, -107.63677008865153, -107.63672090008944, -107.63672376934312, -107.63658961758162, -107.63658978313484]","[0.16271533399999782, 0.10674837500000223, 0.10430408299999527, 0.10246804199999815, 0.10210970900000405, 0.10299187500000073, 0.0945956670000001, 0.09554395800000037]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,8,-107.63994762579733,0.014174821725205788,False,0.9123310419999981,8,True,False,False,100,8,1e-06,8.326858846885443e-08,0.0,"[-107.64887110920037, -107.63955996867264, -107.64021646289501, -107.64022578973493, -107.64015789752142, -107.64015857691201, -107.63994754252874, -107.63994762579733]","[0.15776058299999818, 0.09746150000000142, 0.1012693750000011, 0.10265716699999672, 0.09926283400000102, 0.10341704200000379, 0.09513824999999798, 0.09184308300000055]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,9,-107.64145627517115,0.012666172351387672,False,1.1292513750000026,9,True,False,False,100,8,1e-06,7.207333396763715e-08,0.0,"[-107.64887110920037, -107.64171259069909, -107.64162556603802, -107.64162980273852, -107.64157179381729, -107.64157213943355, -107.64145620309782, -107.64145627517115]","[0.18089220799999595, 0.11644475000000654, 0.12253666700000565, 0.1234624160000024, 0.1229638750000035, 0.11995087500000068, 0.11527833299999912, 0.11426354099999969]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,10,-107.64535522322413,0.008767224298409815,False,1.124453250000002,10,True,False,False,100,8,1e-06,8.896185761386732e-07,0.0,"[-107.64887110920037, -107.64574881941934, -107.64541930021716, -107.64540283217585, -107.64536321838867, -107.64535771414617, -107.6453561128427, -107.64535522322413]","[0.1963097499999975, 0.12487175000000406, 0.12411354199999636, 0.1232244579999957, 0.12659362499999816, 0.12730666600000262, 0.12144620799999473, 0.11550795899999855]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,12,-107.64862890932812,0.005493538194414782,False,1.0706235410000033,12,True,False,False,100,7,1e-06,6.791367468395038e-11,0.0,"[-107.64943959948218, -107.64844940131451, -107.64862537878764, -107.64862869528619, -107.64862888648756, -107.64862890939604, -107.64862890932812]","[0.20956054099999477, 0.13987941699999595, 0.1352115420000004, 0.1336738749999995, 0.13335654099999772, 0.13251858399999605, 0.12612237499999424]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,14,-107.65076898210464,0.0033534654179021572,False,1.3451599580000035,14,True,False,False,100,7,1e-06,5.93209108501469e-08,0.0,"[-107.64961797345872, -107.6504548072488, -107.65077502975439, -107.65077042651244, -107.65077143449467, -107.65076892278373, -107.65076898210464]","[0.2330339170000002, 0.18203008299999368, 0.16871100000000183, 0.16296312500000454, 0.1647201669999987, 0.1654173329999935, 0.1610710419999961]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,16,-107.65121922986026,0.0029032176622791894,False,1.3193176249999965,16,True,False,False,100,7,1e-06,8.451087296634796e-08,0.0,"[-107.65049618766153, -107.65111851194325, -107.65121495787335, -107.65121751267884, -107.65121872559257, -107.65121914534939, -107.65121922986026]","[0.26789608300000367, 0.17001112500000204, 0.1708949579999981, 0.1616389580000046, 0.16719437500000112, 0.15948620900000066, 0.15992983299999963]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,18,-107.65197220545954,0.002150242062995744,False,1.8485512499999999,18,True,False,False,100,7,1e-06,1.1945792266487842e-07,0.0,"[-107.65114830462792, -107.65173355823006, -107.65196245625918, -107.65196925341668, -107.65197144437782, -107.65197208600162, -107.65197220545954]","[0.3734995000000012, 0.29383754099999493, 0.23218204199999803, 0.22055399999999992, 0.22483799999999832, 0.22659937499999927, 0.2137591669999992]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_Nover2_Comm,block2_pauli,20,-107.65252731384584,0.001595133676701721,True,2.0233313330000016,20,True,False,False,100,7,1e-06,1.3481167115969583e-07,0.0,"[-107.651401115294, -107.6520269602166, -107.65249061260153, -107.65249412665705, -107.65252668301098, -107.65252717903417, -107.65252731384584]","[0.4011506660000066, 0.29195216699999804, 0.26778204200000033, 0.25498383299999716, 0.25101641699999533, 0.25405250000000024, 0.24101341599999415]",N2_eqm,N/2,10,-107.65412244752254
new_HCT_N_Comm,block2_pauli,1,-107.58778557472355,0.06633687279898481,False,0.5569450410000059,1,True,False,False,100,7,1e-06,1.889165446300467e-08,0.0,"[-107.64226360363185, -107.58788372891053, -107.58786111016943, -107.58778799311511, -107.58778677205169, -107.58778559361521, -107.58778557472355]","[0.10669658400000515, 0.06870324999999866, 0.06852654099999711, 0.06917441699999927, 0.0687322499999965, 0.06931149999999775, 0.06335525000000075]",N2_eqm,N,20,-107.65412244752254
new_HCT_N_Comm,block2_pauli,2,-107.62025049989921,0.03387194762332513,False,0.5429317500000082,2,True,False,False,100,7,1e-06,2.782435615245049e-07,0.0,"[-107.64307684939456, -107.61981499927708, -107.6202853749387, -107.62026050120565, -107.62025480249682, -107.62025077814278, -107.62025049989921]","[0.0802556250000066, 0.07185445799999002, 0.07069624999999746, 0.07250545800000907, 0.07095024999999566, 0.07138737500000047, 0.0673864999999978]",N2_eqm,N,20,-107.65412244752254
new_HCT_N_Comm,block2_pauli,3,-107.63391243101574,0.02021001650679466,False,0.6420080420000005,3,True,False,False,100,8,1e-06,2.3477673494198825e-07,0.0,"[-107.64714447813628, -107.62963826701323, -107.63374073950668, -107.6338978130764, -107.63391622668809, -107.63391386693192, -107.63391266579248, -107.63391243101574]","[0.08907708299999229, 0.07585191600000485, 0.07475529200000608, 0.07614850000000217, 0.07340166699999884, 0.07355300000000398, 0.07003437500000587, 0.0702035829999943]",N2_eqm,N,20,-107.65412244752254
new_HCT_N_Comm,block2_pauli,4,-107.64217049257411,0.011951954948429488,False,0.7582916670000088,4,True,False,False,100,8,1e-06,2.154275193788635e-07,0.0,"[-107.64921791681977, -107.64176349341199, -107.6421757830532, -107.6421863583005, -107.64217379916957, -107.64217523661227, -107.64217027714659, -107.64217049257411]","[0.09554287499999248, 0.084273500000009, 0.0829422499999879, 0.08387904200000662, 0.08270491700000093, 0.13316883299999915, 0.07850249999999903, 0.07828924999999742]",N2_eqm,N,20,-107.65412244752254
new_HCT_N_Comm,block2_pauli,5,-107.64816167318989,0.005960774332649521,False,0.6700344579999893,5,True,False,False,100,7,1e-06,8.887300850801694e-08,0.0,"[-107.64981908122323, -107.64809992107622, -107.6481599574582, -107.64816014861616, -107.64816160393637, -107.64816158431688, -107.64816167318989]","[0.10190312499999266, 0.09047470800000212, 0.08809099999999148, 0.0883012080000043, 0.08884670899999492, 0.0890419579999957, 0.08520995800000719]",N2_eqm,N,20,-107.65412244752254
new_HCT_N_Comm,block2_pauli,6,-107.65044421399634,0.0036782335262017796,False,0.7112886670000051,6,True,False,False,100,7,1e-06,6.252776074688882e-12,0.0,"[-107.65085857618823, -107.65050068085642, -107.65050068083731, -107.650440034545, -107.65044003456727, -107.65044421399008, -107.65044421399634]","[0.10475716700000248, 0.09556233300000372, 0.09599737500001027, 0.09463729099999796, 0.09629045799999858, 0.09412045800000612, 0.09218404199999952]",N2_eqm,N,20,-107.65412244752254
